timestamp,open,high,low,close,volume
2019-06-24,9.9500,10.0200,9.9367,9.9650,8521894
2019-06-21,10.0300,10.0500,9.9100,9.9900,47904041
2019-06-20,10.1300,10.1500,9.9500,10.0400,32086473
2019-06-19,10.1500,10.1800,10.0300,10.0400,29051257
2019-06-18,10.0800,10.2000,10.0476,10.1000,32591675
2019-06-17,9.9900,10.0900,9.9400,10.0500,19383830
2019-06-14,10.0100,10.0400,9.9400,9.9800,21553248
2019-06-13,9.8700,10.0600,9.8000,10.0600,25555852
2019-06-12,9.9000,9.9300,9.8400,9.8500,21746723
2019-06-11,9.8700,9.9800,9.7900,9.9200,26434185
2019-06-10,9.8900,10.0300,9.7600,9.8200,33883401
2019-06-07,9.7600,9.8200,9.7000,9.7600,18848704
2019-06-06,9.7200,9.8200,9.6600,9.7500,28291063
2019-06-05,9.8700,9.9200,9.6500,9.7800,42464814
2019-06-04,9.7300,9.9500,9.7200,9.9200,37324130
2019-06-03,9.6200,9.6500,9.4600,9.6100,39446800
2019-05-31,9.4800,9.5400,9.3250,9.5200,48250384
2019-05-30,9.7400,9.8400,9.6800,9.7400,24759571
2019-05-29,9.6900,9.7500,9.5500,9.7100,32262552
2019-05-28,9.8700,9.9000,9.7700,9.7800,27656181
2019-05-24,9.9200,9.9500,9.8000,9.8300,22131457
2019-05-23,9.8500,9.8500,9.6700,9.8500,43153773
2019-05-22,10.1700,10.2100,9.9300,9.9700,51407182
2019-05-21,10.3100,10.3100,10.1500,10.2400,30099324
2019-05-20,10.3000,10.3000,10.2000,10.2800,29535935
2019-05-17,10.3200,10.4400,10.2400,10.2900,34565393
2019-05-16,10.3000,10.4400,10.3000,10.4000,32696980
2019-05-15,10.2100,10.4000,10.0400,10.3600,44050200
2019-05-14,10.1500,10.2900,10.1300,10.2400,31297221
2019-05-13,10.1700,10.2600,10.0400,10.0800,51102054
2019-05-10,10.3200,10.4100,10.2000,10.3800,37629526
2019-05-09,10.2600,10.3000,10.0700,10.2000,43621299
2019-05-08,10.3800,10.4500,10.3100,10.3400,33472200
2019-05-07,10.3300,10.4100,10.3000,10.3800,41154485
2019-05-06,10.1200,10.4200,10.1200,10.3700,28640578
2019-05-03,10.3700,10.4500,10.3000,10.4100,36291243
2019-05-02,10.3000,10.3500,10.2000,10.3400,34508446
2019-05-01,10.4800,10.5000,10.2900,10.3000,41805504
2019-04-30,10.2900,10.5000,10.2700,10.4500,46079308
2019-04-29,10.3600,10.3900,10.0700,10.3200,62500522
2019-04-26,10.0300,10.4500,9.9500,10.4100,156136698
2019-04-25,9.5200,9.5300,9.3400,9.4000,52596747
2019-04-24,9.4500,9.6100,9.4000,9.5700,39796303
2019-04-23,9.3600,9.5100,9.3000,9.5000,39493689
2019-04-22,9.5800,9.5800,9.4600,9.5000,38718506
2019-04-18,9.5200,9.6200,9.4800,9.5500,29843042
2019-04-17,9.4000,9.5800,9.3900,9.5000,30688316
2019-04-16,9.3200,9.4000,9.2400,9.3600,40949992
2019-04-15,9.4800,9.5000,9.2600,9.3300,41206747
2019-04-12,9.4700,9.6000,9.4400,9.4500,38646020
2019-04-11,9.3500,9.4100,9.3300,9.3900,26488106
2019-04-10,9.2300,9.3500,9.2000,9.3300,28469482
2019-04-09,9.2700,9.3600,9.1700,9.2100,29879089
2019-04-08,9.1800,9.3200,9.1700,9.3000,26221135
2019-04-05,9.1700,9.2700,9.0800,9.2500,37854698
2019-04-04,9.2100,9.3000,9.1800,9.2400,39483120
2019-04-03,9.0700,9.2700,9.0600,9.1300,56663558
2019-04-02,8.9500,9.0300,8.9100,9.0100,30699413
2019-04-01,8.8600,9.0000,8.8600,8.9800,45653096
